correo,empresa,sector,prioridad,estado,fecha_envio,notas
wash8dry@hotmail.com,Lavaseco Wash & Dry,Lavandería,2,,,
vegotofastfood@gmail.com,VeGoto,Comida rápida,2,,,
mesasalvaje@gmail.com,Mesa Salvaje,Cafetería,2,,,
gerencia@serviautosgrg.co,Serviautos El Bosque GRG,Taller de carros,2,,,
a.multicolor@yahoo.com,MLT Racores,Ferretería,2,,,
cocinabotanica2021@gmail.com,PIANTA,Restaurante,2,,,
lareinarepas@gmail.com,Arepas La Reina,Restaurante,2,,,
mesonsante@hotmail.com,Masón Santé,Restaurante,2,,,
restaurante.pincho.pancho@gmail.com,Pincho Pancho,Comida rápida,2,,,
reservas@elchato.co,El Chato,Restaurante,2,,,
servicioalcliente@tipicasempanadas.com,Empanadas Típicas,Comida rápida,2,,,
jmpintucarsexpress@hotmail.com,Jm Pintu Cars Express,Taller de carros,2,,,
altagracia.acol@gmail.com,López & Gracia,Cafetería,2,,,
comercialspress1@gmail.com,Natural Food Gourmet,Restaurante,2,,,
talentohumano@brot.com.co,Brot Quinta Camacho,Panadería,2,,,
elcrew@basker.com.co,Basker Burgers,Comida rápida,2,,,
alex@alicesbogota.com,Alice's,Restaurante,2,,,
tienda.casa@cafecultor.co,Casa Café Cultor,Cafetería,2,,,
fontibon@parabricentro.com,Parabricentro Fontibon,Taller de carros,2,,,
u003efacturacionveganfoodgroup@gmail.com,Herbívoro Cocina Vegana,Restaurante,2,,,
gorisanveganfood@gmail.com,Gori San,Restaurante,2,,,
sales@libertariocoffee.com,Libertario Coffee Roasters,Cafetería,2,,,
comunicaciones@mgfq.com,Maison Kayser,Panadería,2,,,
inversioneslagon@gmail.com,Lagon Sas,Fabrica,2,,,
admoncalle77@myriamcamhi.com,Myriam Camhi,Panadería,2,,,
info@cnsalud.com,Centro Nacional de La Salud - Medlucara Ltda,Clínica,2,,,
info@azaharcoffee.com,Azahar Cafe,Cafetería,2,,,
info@lacesta.com.co,La Cesta,Restaurante,2,,,
info@homeburgers.com,Home Burgers,Comida rápida,2,,,
admin@tropicaliacoffee.com,Tropicália Coffee Co,Cafetería,2,,,
info@interwap.co,Pan Pa' Ya!,Panadería,2,,,
gitane@dlksa.net,Gitane,Restaurante,2,,,
casa@dlksa.net,Casa,Restaurante,2,,,
labrasserie@dlksa.net,La Brasserie,Restaurante,2,,,
reservas.bogota@sofitel.com,Basilic,Restaurante,2,,,
agadon@dlksa.net,Agadon,Restaurante,2,,,
primi@dlksa.net,Primi,Restaurante,2,,,
reservasmuseodeltequila@gmail.com,Museo Del Tequila,Restaurante,2,,,
kartornillospublicidad@gmail.com,Kartornillos,Ferretería,2,,,
purchasingsuppliers@brinker.com,Chilis,Restaurante,2,,,
info@ilnonno.co,IL NONNO Trattoria de Barrio🇮🇹,Restaurante,2,,,
hello@bananabananabread.com,BB Banana Bread,Cafetería,2,,,
info@bombaylounge.com.co,Bombay Lounge,Restaurante,2,,,
laxarcuteria85@gmail.com,Xarcuteria,Restaurante,2,,,
dibecol.sas@gmail.com,dibecol,Droguería,2,,,
coffee.shop@cafe18.com.co,Café 18,Cafetería,2,,,
notificacionesjudiciales@cayre.co,Cayre,Clínica,2,,,
clientes@sierranevada.co,Sierra Nevada,Comida rápida,2,,,
info@castellana104.com,Castellana 104,Restaurante,2,,,
poldo2608@gmail.com,Cladestine,Restaurante,2,,,
jacquespasteleria@hotmail.com,Jacques,Restaurante,2,,,
donburgerbogota@gmail.com,Don Burger,Comida rápida,2,,,
q@lgaw.gcl,Sandwich Qbano Pepe Sierra,Comida rápida,2,,,
cuentaconjuan@juanvaldezcafe.com,Juan Valdez Cafe,Cafetería,2,,,
cuatro4cuervos@gmail.com,Cuatro Cuervos Bogota,Restaurante,2,,,
pqrf@colserauto.com,Colserautos,Taller de carros,2,,,
pqrs@gastromedicall.com,Gastromedicall,Clínica,2,,,
icnovagroup@gmail.com,Icnova Group,Taller de carros,2,,,
hola@sieteraiceshotel.com,SieteRaices,Restaurante,2,,,
contacto@takami.co,80 Sillas,Restaurante,2,,,
carneslaespecialq@gmail.com,Carnes La Especial,Carnicería,2,,,
peticionesyquejas@fsfb.org.co,Edificio Ambulatorio - Fundación Santa Fe de Bogotá,Clínica,2,,,
luckybamboorestau@gmail.com,Lucky Bamboo Restaurante,Restaurante,2,,,
andino@abasto.com.co,Abasto,Restaurante,2,,,
info@ideamaq.com,Ideamaq ingeniería y equipos SAS,Ferretería,2,,,
jonpinhorn.typedesign@gmail.com,Music Burger,Comida rápida,2,,,
gerencia@motosyservitecas.com.co,Motos y servitecas de Colombia,Taller de carros,2,,,
atencionalusuario@icsn.co,Instituto Colombiano del Sistema Nervioso Clínica Monserrat,Clínica,2,,,
administrativo@pharmaskin.com.co,Pharmaskin,Farmacia,2,,,
contacto@parrillaeldiaquemequieras.com,El Día Que Me Quieras 140,Restaurante,2,,,
servicioalcliente@elchocolo.com.co,El Chocolo,Panadería,2,,,
servicioalcliente@lenosycarbon.com.co,Leños y Carbón,Restaurante,2,,,
diego70480@gmail.com,Tatos Parrilla,Restaurante,2,,,
historiaclinica@fctic.org,Centro de Tratamiento e Investigación sobre Cáncer,Clínica,2,,,
sinthyaquimica@gmail.com,Sinthya Quimica Ltda,Gestión de residuos,2,,,
info@raee.com.co,Raee Colombia S.a.s,Gestión de residuos,2,,,
asistencaprocesoil@hotmail.com.co,Procesoil Ltda,Gestión de residuos,2,,,
grubio@pcshek.com,Pcshek Tecnologia y Servicios S A S,Gestión de residuos,2,,,
mariai@sipiar.com,Btr Colombia S.a.s,Gestión de residuos,2,,,
info@proutiles.com,PROCESOS REUTILIZABLES INDUSTRIALES -PROUTILES LTDA,Gestión de residuos,2,,,
gerencia@ingenieriayreciclaje.com,Ingenieria y Reciclaje S.a.s.,Gestión de residuos,2,,,
gerencia.serviplust@gmail.com,Empresa de Servicios Profesionales y Soluciones Integrales Sas,Gestión de residuos,2,,,
javier.useche@serviecologicos.com,Serviecologico S.a.s,Gestión de residuos,2,,,
r.humano@retamboresltda.com,Retambores Ltda,Gestión de residuos,2,,,
servicoalcliente@reenvasar.com,REENVASAR�E U,Gestión de residuos,2,,,
recoltambores@hotmail.com,RECOLTAMBORES,Gestión de residuos,2,,,
smojica@oxidosymetales.com,Oxidos y Metales S.a.soxymet S.a.s,Gestión de residuos,2,,,
servicioalcliente@canecaspulido.com,Jardinera Pulido SAS,Gestión de residuos,2,,,
ambisersas@hotmail.com,Olova Sas Esp,Gestión de residuos,2,,,
administrativa@biotratamientoderesiduos.com,BIOTRATAMIENTO DE RESIDUOS EL MU?A LTDA,Gestión de residuos,2,,,
contabilidad@recitambores.com,Recitambores Sas,Gestión de residuos,2,,,
coordinador.hseq@esapetrolsa.com,C.i. Esapetrol S.a.,Gestión de residuos,2,,,
administrativo@planetaverde.com.co,Planeta Verde S.a.s.,Gestión de residuos,2,,,
ambiental.bogota@lito.com.co,Lito S.a.s.,Gestión de residuos,2,,,
ecosistemasas@hotmail.com,Ecosistema Sas,Gestión de residuos,2,,,
coordinadorhse@ecolcin.com,Ecolcin S.a.s.,Gestión de residuos,2,,,
david@weee.global,E-WASTE SOLUTIONS S.A.S.,Gestión de residuos,2,,,
carolina.alvarez.serrano@clarios.com,Clarios Andina S.a.s,Gestión de residuos,2,,,
ventas@bogotanademangueras.com,Bogotana de Mangueras S.a.s.,Gestión de residuos,2,,,
ambientalpuertadeoro@gmail.com,Asociación de Recicladores Puerta de Oro,Gestión de residuos,2,,,
yuli.cuellar@tecniamsa.com.co,VEOLIA SERVICIOS INDUSTRIALES COLOMBIA S.A. E.S.P (antes TECNOLOGIAS AMBIENTALES,Gestión de residuos,2,,,
dguzman@atica.com,Industria Ambiental S.a.s.,Gestión de residuos,2,,,
gerencia@ocade.net,Ocade Organización de Control Ambiental y Desarrollo Empresarial Ltda,Gestión de residuos,2,,,
gerenciacomercial@ecoentorno.com.co,Ecoentorno S.a Esp,Gestión de residuos,2,,,
gerencia@imacltda.com.co,SERVIMAEX,Gestión de residuos,2,,,
zipa@parabricentro.com,Parabricentro Zipaquira,Taller de carros,2,,,
lortega@acueducto.com.co,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P,Servicios públicos,2,,,
acualcossec@hotmail.com,ASOCIACION DE SERVICIOS PÚBLICOS COMUNITARIOS SAN ISIDRO I Y II SECTOR SAN LUIS ,Servicios públicos,2,,,
coopjardin@yahoo.com,COOPERATIVA DE SERVICIOS PUBLICOS DE ACUEDUCTO Y ALCANTARILLADO DE LA PARCELACIO,Servicios públicos,2,,,
brodriguez@ciudadlimpia.com.co,CIUDAD LIMPIA BOGOTÁ S.A. E.S.P.,Servicios públicos,2,,,
arbesp@gmail.com,ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA,Servicios públicos,2,,,
jarpiga@yahoo.com,CONSASA SAS ESP,Servicios públicos,2,,,
aquapolis@yahoo.com,AQUAPOLIS SOCIEDAD ANONIMA E.S.P.,Servicios públicos,2,,,
aguaskalientes@hotmail.com,ASOCIACION DE USUARIOS DE AGUAS CALIENTES,Servicios públicos,2,,,
martha.paez@aguaskpital.com,AGUAS KPITAL S.A. E.S.P.,Servicios públicos,2,,,
actualizar.cons@etb.net.co,AGUAZUL BOGOTA S.A.  E.S.P.,Servicios públicos,2,,,
carlosgarayfederincol@yahoo.com,ASOCIACION DE RECICLAJE RECICLATODO'S,Servicios públicos,2,,,
juan.castilla@lime.cim.co,LIMPIEZA METROPOLITANA S.A E.S.P.,Servicios públicos,2,,,
lab2stl@gmail.com,STL S.A.  E.S.P.,Servicios públicos,2,,,
contabilidad@ecocapitalinternacional.com,ECOCAPITAL INTERNACIONAL S.A  ESP,Servicios públicos,2,,,
contadorasespa@outlook.com,SESPA SANTANDER S.A.  E.S.P.,Servicios públicos,2,,,
asopicos@gmail.com,LA ASOCIACION DE USUARIOS DE ACUEDUCTO DE LAS VEREDAS LA UNIÓN Y LOS ANDES PICOS,Servicios públicos,2,,,
rosaura468@yahoo.es,COOPERATIVA DE TRABAJO ASOCIADO DE RECICLADORES Y RECUPERADORES AMBIENTALES NUEV,Servicios públicos,2,,,
beatrizaldanagarzon@hotmail.co,PROACTIVA DE SERVICIOS INTEGRALES S.A.  E.S.P.,Servicios públicos,2,,,
wilson.castellanos@aguasdebogota.com.co,AGUAS DE BOGOTA S.A. ESP,Servicios públicos,2,,,
lopezpinzonlibardo@hotmail.com,ASOCIACIÓN DE USUARIOS ACUEDUCTO AGUAS CLARAS VEREDA OLARTE,Servicios públicos,2,,,
info@cojardinsa.com,COJARDIN SA ESP,Servicios públicos,2,,,
acuavidaesp@gmail.com,"ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LAS VEREDAS HATO, SANTA BARBARA Y LAS ME",Servicios públicos,2,,,
aacupasa@hotmail.com,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LAS VEREDAS DE PASQUILLITA Y SANTA ROSA,Servicios públicos,2,,,
mariomoya76@yahoo.com,ASOCIACION DE USUARIOS DE ACUEDUCTO DE LA VEREDA MOCHUELO ALTO ASOPORQUERA ESP,Servicios públicos,2,,,
asambiental1@gmail.com,ASOCIACIÓN SALITRE AMBIENTAL,Servicios públicos,2,,,
vertiaguas@hotmail.com,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA ZONA MEDIA DE LA PARCELACION FLORESTA,Servicios públicos,2,,,
asocristalinas@gmail.com,ASOCIACIÓN DE USUARIOS DE LA VEREDA LOS SOCHES AGUAS CRISTALINAS LOS SOCHES ESP,Servicios públicos,2,,,
l.granados@estrategia5.com,COOPERATIVA DE TRABAJO ASOCIADO ECOAMBIENTAL EL PORVENIR,Servicios públicos,2,,,
auacact@gmail.com,ASOCIACION DE USUARIOS DEL ACUEDUCTO COMUNITARIO AGUAS CALIENTES,Servicios públicos,2,,,
lizrodriguez2201@gmail.com,ASOCIACIÓN DE USUARIOS DE ACUEDUCTO DE LA VEREDA AGUALINDA CHIGUAZA,Servicios públicos,2,,,
asoperabeca2018@gmail.com,"ASOCIACIÓN  DE USUARIOS DE ACUEDUCTO DE LAS VEREDAS PEÑALIZA, RAIZAL, BETANIA, E",Servicios públicos,2,,,
acuepasqui@gmail.com,ASOCIACION DE USUARIOS DE ACUEDUCTO Y ALCANTARILLADO DE LA VEREDA PASQUILLA CENT,Servicios públicos,2,,,
analista.costos@cgr-bogota.com,CENTRO DE GERENCIAMIENTO DE RESIDUOS DOÑA JUANA S.A. E.S.P.,Servicios públicos,2,,,
arez-10@hotmail.es,ASOCIACIÓN DE RECICLADORES DE ENGATIVA ZONA 10,Servicios públicos,2,,,
asouan@outlook.com,ASOCIACION DE USUARIOS DEL ACUEDUCTO LAS ANIMAS LAS AURAS Y NAZARETH,Servicios públicos,2,,,
acueductolagunaverde@gmail.com,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO DE LA VEREDA LAGUNA VERDE ESP,Servicios públicos,2,,,
tattis_921114@hotmail.com,ASOCIACIÓN DE USUARIOS DE ACUEDUCTO ARRAYANES ARGENTINA,Servicios públicos,2,,,
corintocerrorredondo@gmail.com,ASOCIACION DE USUARIOS DE ACUEDUCTO MANANTIAL DE AGUAS CERRO REDONDO Y CORINTO E,Servicios públicos,2,,,
parcelacionlafloresta@gmail.com,ASOCIACIÓN DE PROPIETARIOS DE LA PARCELACIÓN LA FLORESTA,Servicios públicos,2,,,
fernando_afanador@yahoo.es,CORPORACION AL SERVICIO DEL MEDIO AMBIENTE,Servicios públicos,2,,,
infosui@estrategia5.com,ASOCIACION ECO ALIANZA ESTRATEGICA DE RECICLADORES,Servicios públicos,2,,,
reci.jimenez@hotmail.com,ASOCIACION DE RECICLADORES UNIDOS POR BOGOTA ARUB,Servicios públicos,2,,,
financierosui@estrategia5.com,ASOCIACION DE RECICLADORES PEDRO LEON TRABUCHI LOCALIDAD 16 PUENTE ARANDA ARPLT ,Servicios públicos,2,,,
robertomorafajardo@hotmail.com,fesnopma cooperativa empresa de servicios publicos,Servicios públicos,2,,,
juanmoncada@iiaingenieria.com,INGENIERÍA INVESTIGACIÓN Y AMBIENTE S.A.S E.S.P,Servicios públicos,2,,,
aseoecoactiva@gmail.com,ASOCIACIÓN DE RECUPERADORES AMBIENTALES ASEO ECOACTIVA,Servicios públicos,2,,,
reciclajenuevoambiente@gmail.com,Asociación de Recuperadores Ambientales Nuevo Ambiente,Servicios públicos,2,,,
info@mymuniversal.com,ASOCIACIÓN DE RECUPERADORES MYM UNIVERSAL,Servicios públicos,2,,,
proyectos@estrategia5.com,ASOCIACIÓN DE ASEO DE RECICLADORES Y CARRETEROS RECICLEMOSTODOS,Servicios públicos,2,,,
aguasdoradasesp@hotmail.com,ASOCIACION DE USUARIOS DE ACUEDUCTO DE LAS VEREDAS REQUILINA Y EL UVAL AGUAS DOR,Servicios públicos,2,,,
asocristalinaesp@gmail.com,ASOCIACION DE USUARIOS DE ACUEDUCTO DE LA VEREDA CURUBITAL AGUAS CRISTALINAS DE ,Servicios públicos,2,,,
acueductolasmargaritas@hotmail.com,ASOCIACIÓN DE USUARIOS DE ACUEDUCTO DE LA VEREDA LAS MARGARITAS DE LA LOCALIDAD ,Servicios públicos,2,,,
asoaguasclarassumapaz.20@gmail.com,ASOCIACIÓN DE USUARIOS DEL SERVICIO DE ACUEDUCTO Y ALCANTARILLADO DEL CORREGIMIE,Servicios públicos,2,,,
auxiliar.oficina@esquisan.com.co,ESQUISAN S.A  ESP,Servicios públicos,2,,,
ivancepeda21ct@gmail.com,ASOCIACIÓN DE RECICLADORES RECUPERADORES AMBIENTALES UN PASO AL FUTURO,Servicios públicos,2,,,
asociacionanrt@gmail.com,ASOCIACION NACIONAL DE RECICLADORES TRANSFORMADORES,Servicios públicos,2,,,
asociacion@asitrib.com.co,ASOCIACION INTEGRAL DE TRABAJADORES INFORMALES DE BOGOTA,Servicios públicos,2,,,
acueductolasanimas2015@gmail.com,ASOCIACIÓN DE USUARIOS DE ACUEDUCTO DE LA VEREDA LAS ANIMAS CON LA SIGLA ASOAGUA,Servicios públicos,2,,,
alirioeco@gmail.com,ASOCIACION ECOLOGICA DE RECICLADORES ECOORA ESP,Servicios públicos,2,,,
atencionalusuario@emrsesp.com,ASOCIACIÓN ENTIDAD MEDIOAMBIENTAL DE RECICLADORES,Servicios públicos,2,,,
recikolping@gmail.com,ASOCIACION DE RECICLADORES,Servicios públicos,2,,,
arambal@live.com,ASOCIACION DE RECICLADORES AMBIENTALES,Servicios públicos,2,,,
coprat2014@gmail.com,COOPERATIVA DE RECUPERADORES ASOCIADOS DE TEUSAQUILLO,Servicios públicos,2,,,
acbesp@gmail.com,ASOCIACIÓN DE CARRETEROS RECICLADORES DE BOGOTÁ ACB,Servicios públicos,2,,,
coomceg20@gmail.com,Precooperativa Multiactiva Conciencia Ecológica PRMCEG No Al Calentamiento Globa,Servicios públicos,2,,,
redsubarecicladores@hotmail.com,RED DE ORGANIZACIONES DE RECICLADORES AMBIENTALES,Servicios públicos,2,,,
asorema99@gmail.com,ASOCIACIÓN DE RECICLADORES Y RECUPERADORES AMBIENTALES ASOREMA,Servicios públicos,2,,,
fundredbogota@gmail.com,ASOCIACIÓN RECICLEMOS DIFERENTE E.S.A.,Servicios públicos,2,,,
crecifront@yahoo.es,ASOCIACIÓN DE RECICLADORES CRECER SIN FRONTERAS ARCRECIFRONT,Servicios públicos,2,,,
jcorrea@interaseo.com.co,INTERASEO SOLUCIONES AMBIENTALES S.A.S. E.S.P.,Servicios públicos,2,,,
arbosostenible@gmail.com,ASOCIACION DE RECICLADORES POR UNA BOGOTA MEJOR Y MAS LIMPIA ESP,Servicios públicos,2,,,
arrecol@hotmail.com,ASOCIACION RECUPERADORES AMBIENTALISTAS COLOMBIANOS,Servicios públicos,2,,,
usaquenjavier@hotmail.com,ASOCIACION DE RECICLADORES ACTIVOS DE USAQUEN ESP,Servicios públicos,2,,,
recuperadoraengativa@gmail.com,recuperadora ambiental engativa,Servicios públicos,2,,,
funsoama@gmail.com,Fundación  Social  Amigos  del  Medio  Ambiente,Servicios públicos,2,,,
asociacionarpe@gmail.com,asociacion de recicladores promotores del porvenir ecologicos de engativa,Servicios públicos,2,,,
asociadosdeoficio@hotmail.com,ASOCIACION DE RECICLADORES DE OFICIO ARO AMBIENTALES,Servicios públicos,2,,,
gestion@promaplast.net,PROMAPLAST S.A.S,Servicios públicos,2,,,
remareek@gmail.com,ASOCIACION RECUPERANDO MATERIALES RECICLABLES DE KENNEDY,Servicios públicos,2,,,
comercialaprovechamiento@pravne.com.co,ASOCIACION ORA AMBIENTAL ACTIVA DE RECICLADORES DE BOGOTA,Servicios públicos,2,,,
informacion@corporacioncentrohistorico.org,CORPORACION CENTRO HISTORICO,Servicios públicos,2,,,
reciclosocial@hotmail.com,ASOCIACIÓN DE RECICLADORES DE OFICIO RC ASOCIACIÓN RECICLOSOCIAL,Servicios públicos,2,,,
horaciomilenium3000@hotmail.com,ASOCIACION DE RECICLADORES Y RECUPERADORES AMBIENTALES MILENIUM 3000,Servicios públicos,2,,,
fabiogrupoempresarial@gmail.com,ASOCIACION GRUPO EMPRESARIAL DE LA ZONA OCTAVA,Servicios públicos,2,,,
asorecoplaneta@gmail.com,Asociación de Recicladores Ecoplaneta El Amparo ESP,Servicios públicos,2,,,
bogotarecicla@hotmail.com,Asociacion O.R.A Bogota Recicla ESP,Servicios públicos,2,,,
nataladino@gmail.com,ASOCIACION DE RECICLADORES BUENOS AIRES GLADYS,Servicios públicos,2,,,
asoambiental07@gmail.com,ASOCIACION DE RECUPERADORES AMBIENTALES DE COLOMBIA 7,Servicios públicos,2,,,
corpoambientalr@gmail.com,Corporación Asociativa de Recicladores y Coroteros,Servicios públicos,2,,,
reciclar-esvida@hotmail.com,ASOCIACION DE RECICLADORES RECICLAR ES VIDA,Servicios públicos,2,,,
ecofuturoroa@gmail.com,ASOCIACION ECOFUTURO ROA,Servicios públicos,2,,,
logistica@ciclototal.co,CORPORACIÓN DE RECICLADORES DE ANTIOQUIA,Servicios públicos,2,,,
asorexsi@gmail.com,ASOCIACION DE RECICLADORES RECICLANDO POR SIEMPRE,Servicios públicos,2,,,
asocolombianita2006@hotmail.com,ASOCIACION DE RECICLADORES DE PUENTE ARANDA LA COLOMBIANITA,Servicios públicos,2,,,
ecoresiduosesp@gmail.com,ASOCIACION DE RECICLADORES ECORESIDUOS,Servicios públicos,2,,,
super.eca@yahoo.com,"ASOCIACION DE LIDERES DEL RECICLAJE, SEPARACION, TRANSPORTE CON ESTACION DE CLAS",Servicios públicos,2,,,
reciclajeasomariapaz@gmail.com,ASOCIACION DE RECICLADORES DE MARIA PAZ,Servicios públicos,2,,,
asorecicla7@yahoo.com,ASOCIACION DE RECUPERADORES AMBIENTALES COLOMBIA VIVA 7 ESP,Servicios públicos,2,,,
gerencia@reciclaodres-acorb.com,ASOCIACION COLOMBIANA DE RECICLADORES DE BOGOTA,Servicios públicos,2,,,
vr3comercial@gmail.com,VR3 EMPRESA DE SERVICIOS PUBLICOS ESP,Servicios públicos,2,,,
funsocial40@hotmail.com,ASOCIACION DE RECICLADORES Y BODEGUEROS UNIDOS POR LA IGUALDAD EN COLOMBIA,Servicios públicos,2,,,
asociacion.new.world@gmail.com,ASOCIACION DE RECICLADORES DE OFICIO NEW WORLD,Servicios públicos,2,,,
apream1@hotmail.com,ASOCIACION DE RECICLADORES Y PRESTADORES DE SERVICIOS AMBIENTALES ALQUERIA,Servicios públicos,2,,,
mapronal.2016-09@hotmail.com,ASOCIACION DE RECICLADORES MANEJO DE APROVECHAMIENTO NACIONAL,Servicios públicos,2,,,
recuperadoresmundoverde@gmail.com,Asociacion de Recuperadores Ambientales Mundo Verde,Servicios públicos,2,,,
asociacionarasid_2014@hotmail.com,ASOCIACIÓN DE RECUPERADORES AMBIENTALES SIN DIFERENCIA,Servicios públicos,2,,,
corporeciclaje@gmail.com,CORPORACION COLOMBIANA DE RECICLAJE,Servicios públicos,2,,,
corpoaranda2016@gmail.com,CORPORACION DE RECICLADORES PUENTE ARANDA,Servicios públicos,2,,,
corporacionsacre@gmail.com,CORPORACION DE RECICLADORES DE ENGATIVA,Servicios públicos,2,,,
asociacionecovive@gmail.com,ASOCIACION ECO VIVE DE COLOMBIA,Servicios públicos,2,,,
arnugebo@hotmail.com,ASOCIACION DE RECICLADORES NUEVA GENERACION DE BOSA,Servicios públicos,2,,,
asondra444@gmail.com,ASOCIACION NACIONAL DE RECUPERADORES AMBIENTALES ESP,Servicios públicos,2,,,
andoreciclando737@gmail.com,ASOCIACIÓN RECICLANDO ANDO,Servicios públicos,2,,,
mujeresambientemejor@outlook.com,MUJERES POR UN AMBIENTE MEJOR,Servicios públicos,2,,,
asociacionadryma@gmail.com,asociación defensora de recicladores y el medio ambiente,Servicios públicos,2,,,
asociacionderecicladoresarypa@hotmail.com,ASOCIACION DE RECICLADORES Y PROTECCIÓN AMBIENTAL,Servicios públicos,2,,,
acrub2017@gmail.com,ASOCIACION COLOMBIANA DE RECUPERADORES UNIDOS POR BOGOTA,Servicios públicos,2,,,
recicladoreapm@hotmail.es,Asociacion de Recicladores por un Manana Mejor,Servicios públicos,2,,,
asociacionmodelodevida@hotmail.com,ASOCIACION DE RECICLADORES MODELO DE VIDA ZONA DECIMA,Servicios públicos,2,,,
asodigmujer@yahoo.es,ASOCIACION DE MUJERES EL RECICLAJE UNA OPCION DIGNA,Servicios públicos,2,,,
jhan.carlotapias@gmail.com,Asociación Recicladores Camilo Torres,Servicios públicos,2,,,
correo@estrategia5.com,ASOCIACION DE RECICLADORES EL TRIUNFO,Servicios públicos,2,,,
arlaunion@hotmail.com,asociación de recicladores julio flores y doce de octubre,Servicios públicos,2,,,
bogota.limpia@yahoo.com,ASOCIACION DE RECUPERADORES AMBIENTALES BOGOTA MAS LIMPIA,Servicios públicos,2,,,
